treeID nodeID parmID contPT mwcpSZ
208 6 10 0 NA 0
209 6 9 3 0.335452 0
210 6 9 3 -0.198624 0
211 6 9 0 NA 0
212 6 12 0 NA 0
213 6 11 3 0.740686 0
214 6 11 0 NA 0
215 6 13 2 0 0
216 6 13 0 NA 0
217 6 14 0 NA 0
218 6 8 3 -0.51388 0
219 6 8 3 -0.969755 0
220 6 8 0 NA 0
221 6 16 0 NA 0
222 6 15 3 0.650345 0
223 6 15 3 0.312784 0
224 6 15 3 -0.170339 0
225 6 15 0 NA 0
226 6 19 0 NA 0
227 6 18 0 NA 0
228 6 17 0 NA 0
229 7 1 1 0 0
230 7 1 3 -0.341633 0
231 7 1 3 -1.163955 0
232 7 1 0 NA 0
233 7 4 3 -0.691583 0
234 7 4 0 NA 0
235 7 5 0 NA 0
236 7 3 3 0.777444 0
237 7 3 3 0.242295 0
238 7 3 0 NA 0
239 7 7 0 NA 0
240 7 6 0 NA 0
241 7 2 1 1 0
242 7 2 3 1.227423 0
243 7 2 3 0.072505 0
244 7 2 3 -0.302895 0
245 7 2 2 0 0
246 7 2 0 NA 0
247 7 12 0 NA 0
248 7 11 0 NA 0
249 7 10 3 0.457766 0
250 7 10 0 NA 0
251 7 13 0 NA 0
252 7 9 0 NA 0
253 7 8 3 -0.423011 0
254 7 8 3 -0.935504 0
255 7 8 0 NA 0
256 7 15 0 NA 0
257 7 14 3 0.458778 0
258 7 14 2 0 0
259 7 14 0 NA 0
260 7 17 0 NA 0
261 7 16 2 0 0
262 7 16 0 NA 0
263 7 18 0 NA 0
264 8 1 3 1.178394 0
265 8 1 1 0 0
266 8 1 3 -0.751509 0
267 8 1 0 NA 0
268 8 4 3 0.039752 0
269 8 4 3 -0.360528 0
270 8 4 0 NA 0
271 8 6 0 NA 0
272 8 5 3 0.309782 0
273 8 5 0 NA 0
274 8 7 3 0.704827 0
275 8 7 0 NA 0
276 8 8 0 NA 0
277 8 3 1 1 0
278 8 3 3 0.335452 0
279 8 3 3 -0.616136 0
280 8 3 3 -1.128922 0
281 8 3 0 NA 0
282 8 12 0 NA 0
283 8 11 3 -0.133086 0
284 8 11 0 NA 0
285 8 13 0 NA 0
286 8 10 0 NA 0
287 8 9 3 0.024163 0
288 8 9 3 -0.986139 0
289 8 9 0 NA 0
290 8 15 2 0 0
291 8 15 0 NA 0
292 8 16 0 NA 0
293 8 14 2 0 0
294 8 14 0 NA 0
295 8 17 0 NA 0
296 8 2 2 0 0
297 8 2 0 NA 0
298 8 18 0 NA 0
299 9 1 1 0 0
300 9 1 3 0.513442 0
301 9 1 3 0.188027 0
302 9 1 3 -0.094745 0
303 9 1 3 -1.161216 0
304 9 1 0 NA 0
305 9 6 3 -0.448738 0
306 9 6 0 NA 0
307 9 7 0 NA 0
308 9 5 0 NA 0
309 9 4 0 NA 0
310 9 3 3 0.936435 0
311 9 3 0 NA 0
312 9 8 0 NA 0
313 9 2 1 1 0
314 9 2 3 0.154972 0
315 9 2 3 -0.169009 0
316 9 2 3 -0.912373 0
317 9 2 0 NA 0
318 9 12 0 NA 0
319 9 11 0 NA 0
320 9 10 3 0.641973 0
321 9 10 0 NA 0
322 9 13 3 1.190571 0
323 9 13 0 NA 0
324 9 14 0 NA 0
325 9 9 3 -0.569932 0
326 9 9 3 -0.973151 0
327 9 9 0 NA 0
328 9 16 0 NA 0
329 9 15 2 0 0
330 9 15 3 0.100658 0
331 9 15 0 NA 0
332 9 18 0 NA 0
333 9 17 3 0.105156 0
334 9 17 0 NA 0
335 9 19 0 NA 0
336 10 1 1 0 0
337 10 1 3 -0.826206 0
338 10 1 0 NA 0
339 10 3 3 -0.230464 0
340 10 3 0 NA 0
341 10 4 3 0.513442 0
342 10 4 3 0.088681 0
343 10 4 0 NA 0
344 10 6 0 NA 0
345 10 5 3 0.862179 0
